st,yr,rtype,hectares,prod,type,temp,wind,rain,cloud,sun,rel_hum,ndvi
Chuadanga,2013,Boro,41159.0,150362.0,2,25.35,2.128571428571429,44.0,1.7857142857142858,6.7285714285714295,75.71428571428571,0.5445057142857144
Chuadanga,2014,Aus,25508.0,70287.0,0,29.12024307250977,1.928189158439636,390.199462890625,4.497411727905273,6.100613117218018,85.99065399169922,0.5475800000000001
Chuadanga,2014,Aman,36526.0,99997.0,1,28.46092796325684,1.4641662836074831,229.9072723388672,4.046987533569337,5.612427234649658,84.77696228027344,0.5860757142857143
Chuadanga,2014,Boro,39205.0,147069.0,2,25.55954742431641,1.7470005750656128,61.32091522216797,2.0143351554870605,6.677717208862305,78.05498504638672,0.5342071428571429
Chuadanga,2015,Aus,27466.0,74737.0,0,29.841049194335934,1.8497635126113887,224.83566284179688,4.151179313659668,5.961042404174805,83.99612426757812,0.5480616666666667
Chuadanga,2015,Aman,36903.0,101810.0,1,28.46502494812012,1.191362380981445,159.38229370117188,3.960119485855103,5.48236608505249,84.78280639648438,0.5708828571428571
Chuadanga,2015,Boro,38127.0,144652.0,2,25.575048446655273,1.6654324531555176,62.90398406982422,2.0408587455749507,6.544089317321777,76.49765014648438,0.5334128571428571
Chuadanga,2016,Aus,27142.0,75607.0,0,29.96144676208496,1.825303316116333,311.696044921875,4.056732177734375,5.839998245239258,84.19583129882812,0.5444066666666666
Chuadanga,2016,Aman,36344.0,101387.0,1,28.433826446533203,1.019582986831665,158.56396484375,4.440168380737305,5.5114336013793945,84.9353256225586,0.5667071428571429
Chuadanga,2016,Boro,35160.0,135832.0,2,25.56488800048828,1.727803349494934,62.90190887451172,1.9404947757720947,6.6116576194763175,76.34223175048828,0.5429228571428572
Chuadanga,2017,Aus,38400.0,111916.0,0,29.64675331115723,1.5152078866958618,301.6470947265625,4.194747447967528,5.803195476531982,85.412353515625,0.557705
Chuadanga,2017,Aman,34190.0,96705.0,1,28.47110939025879,0.90230530500412,198.9366607666016,4.0660552978515625,5.519232273101807,84.87622833251953,0.5909542857142858
Chuadanga,2017,Boro,38730.0,146744.0,2,25.56588554382324,1.5388299226760864,62.88126754760742,2.099348783493042,6.3532752990722665,78.82499694824219,0.5571200000000001
