st,yr,lat,long,rain,rel_hum,cloud,avg_sun,temp
Chittagong (IAP-Patenga),2015,22.34,91.79,211.8502960205078,79.38516998291016,3.614131450653076,6.67147970199585,27.733417510986328
Syedpur,2015,25.75,88.916667,162.238525390625,76.74053192138672,3.2592220306396484,5.970194816589356,27.33906364440918
Chittagong (City-Ambagan),2015,22.35,91.8166,208.01133728027344,78.01402282714844,3.682024955749512,6.406033039093018,28.21789360046387
Chandpur,2015,23.26,90.67,193.5471649169922,79.00122833251953,3.789819240570069,5.395756244659424,28.206769943237305
Bogra,2015,24.88,89.36,173.34268188476562,75.81990814208984,3.464806079864502,5.464742183685303,27.873882293701172
Sylhet,2015,24.88,91.93,349.2083435058594,76.45702362060547,4.275228023529054,5.8519697189331055,28.1324520111084
Feni,2015,23.01,91.37,193.5058441162109,80.06616973876953,3.754039764404297,5.923644065856934,27.77013969421387
Teknaf,2015,20.87,92.26,295.54986572265625,79.07884979248047,3.574058055877685,6.692348003387451,27.740074157714844
Barisal,2016,22.7,90.36,180.9631500244141,80.08048248291016,3.6085538864135738,6.182128429412843,28.07020378112793
Dinajpur,2016,25.63,88.66,166.82301330566406,75.63926696777344,3.3533229827880864,6.11248254776001,27.30035972595215
Bhola,2016,22.7,90.66,183.72608947753903,80.13967895507812,3.5085291862487797,5.7458438873291025,28.058088302612305
Patuakhali,2016,22.36,90.34,197.51922607421875,80.37818145751953,3.576763153076172,6.187026500701903,28.27402687072754
Mymensingh,2016,24.75,90.41,181.9563751220703,78.5173568725586,3.6351261138916016,5.356214046478272,27.8074951171875
Mongla,2016,22.43,89.66,159.67161560058594,78.63151550292969,3.487259864807129,6.207028865814209,28.31281852722168
Rajshahi,2016,24.35,88.56,165.71719360351562,76.42084503173828,3.28765082359314,6.240923881530763,27.78160095214844
Maijdee Court,2016,22.83,91.08,189.4546203613281,79.04066467285156,3.712345838546753,5.7812347412109375,28.340076446533203
Madaripur,2016,23.17,90.18,184.87875366210938,79.1474838256836,3.3723416328430176,6.12043571472168,27.99821472167969
Kutubdia,2016,21.83,91.84,248.3284912109375,81.37281799316406,3.647508144378662,6.432004928588867,27.78723526000977
Rangamati,2016,22.67,92.2,198.32516479492188,78.44023132324219,3.6323735713958736,6.419933795928955,28.023456573486328
Khulna,2016,22.8,89.58,170.51504516601562,79.32695770263672,3.485437393188477,6.161886215209961,28.246337890625
