st,yr,mn,max_temp,min_temp,rain,rel_hum,wind,cloud,sun
Khepupara,2013,11,32.2,18.6,0.0,79.0,2.4,1.3,7.6
Khepupara,2013,12,30.0,14.8,0.0,78.0,2.1,0.8,7.4
Khulna,2013,1,29.2,11.7,1.0,84.0,1.4,0.4,6.8
Khulna,2013,2,32.4,15.6,7.0,78.0,1.8,1.6,7.9
Khulna,2013,3,36.6,21.1,19.0,70.0,2.0,1.5,8.1
Khulna,2013,4,38.8,24.1,62.0,71.0,2.3,2.9,8.1
Khulna,2013,5,37.5,25.2,430.0,83.0,2.9,6.4,4.1
Khulna,2013,6,37.0,27.1,212.0,85.0,1.6,5.2,5.0
Khulna,2013,7,34.7,26.7,313.0,91.0,2.3,6.2,4.6
Khulna,2013,8,35.5,26.3,482.0,92.0,2.0,6.2,3.7
Khulna,2013,9,36.0,26.4,278.0,85.0,1.3,5.8,4.4
Khulna,2013,10,35.2,24.4,260.0,87.0,1.5,5.3,4.3
Khulna,2013,11,32.6,18.2,0.0,75.0,1.1,0.8,8.1
Khulna,2013,12,29.5,15.0,0.0,79.0,1.3,0.7,6.3
Kutubdia,2013,1,28.6,13.5,0.0,81.0,0.9,0.4,7.5
Kutubdia,2013,2,30.0,17.5,1.0,81.0,1.4,1.3,8.3
Kutubdia,2013,3,32.0,21.3,0.0,81.0,1.2,1.0,8.3
Kutubdia,2013,4,33.4,24.3,85.0,88.0,1.6,2.5,7.7
Kutubdia,2013,5,34.5,24.6,1088.0,88.0,2.4,6.2,4.1
Kutubdia,2013,6,34.0,25.6,1058.0,90.0,1.8,6.2,5.8
Kutubdia,2013,7,33.6,25.1,818.0,89.0,2.2,6.4,5.2
Kutubdia,2013,8,33.0,25.3,642.0,89.0,2.0,6.4,3.7
Kutubdia,2013,9,33.8,24.8,296.0,89.0,1.7,6.0,5.3
Kutubdia,2013,10,34.5,23.8,215.0,90.0,1.4,5.1,3.8
Kutubdia,2013,11,31.5,19.0,0.0,77.0,1.4,0.9,8.2
Kutubdia,2013,12,29.5,15.8,0.0,77.0,1.1,0.4,7.3
Madaripur,2013,1,28.4,10.0,0.0,79.0,0.5,0.4,6.3
Madaripur,2013,2,32.2,14.7,6.0,73.0,0.5,1.0,7.7
Madaripur,2013,3,36.0,20.4,15.0,71.0,0.1,1.4,8.1
Madaripur,2013,4,36.6,23.5,29.0,76.0,0.7,2.6,7.8
Madaripur,2013,5,37.3,24.1,751.0,86.0,0.9,6.0,3.6
Madaripur,2013,6,36.0,26.4,199.0,84.0,0.3,4.7,5.5
Madaripur,2013,7,35.6,26.3,309.0,86.0,0.6,5.4,5.1
Madaripur,2013,8,34.2,26.0,274.0,87.0,0.4,5.6,4.7
Madaripur,2013,9,35.5,25.9,365.0,87.0,0.1,4.9,4.4
Madaripur,2013,10,34.7,24.0,200.0,86.0,0.3,4.6,5.1
Madaripur,2013,11,32.3,18.0,4.0,78.0,0.1,0.5,8.4
Madaripur,2013,12,29.7,13.1,0.0,82.0,0.0,0.5,6.0
Maijdee Court,2013,1,28.5,12.5,0.0,73.0,3.1,0.4,6.2
Maijdee Court,2013,2,33.5,16.8,8.0,68.0,3.9,1.7,7.5
Maijdee Court,2013,3,36.0,21.2,4.0,71.0,3.5,2.0,7.9
Maijdee Court,2013,4,36.0,24.0,65.0,75.0,3.5,3.4,7.4
Maijdee Court,2013,5,35.0,24.7,671.0,86.0,5.6,7.0,2.7
Maijdee Court,2013,6,36.6,26.9,658.0,82.0,3.9,6.1,5.6
Maijdee Court,2013,7,35.0,26.5,482.0,86.0,5.3,6.7,4.3
Maijdee Court,2013,8,34.0,26.2,583.0,87.0,4.4,7.0,3.3
Maijdee Court,2013,9,35.0,26.3,355.0,86.0,3.1,6.1,4.0
Maijdee Court,2013,10,34.2,25.0,218.0,85.0,3.4,5.3,5.2
Maijdee Court,2013,11,32.0,20.2,0.0,77.0,3.3,1.3,8.3
Maijdee Court,2013,12,29.2,16.2,0.0,81.0,2.5,1.1,5.1
Mongla,2013,1,28.8,12.4,0.0,74.0,0.9,0.5,6.7
Mongla,2013,2,33.2,16.1,5.0,68.0,1.9,1.6,7.7
Mongla,2013,3,37.2,21.5,2.0,70.0,1.9,1.7,8.5
Mongla,2013,4,38.6,24.6,28.0,73.0,2.9,2.9,8.1
Mongla,2013,5,39.0,25.3,359.0,84.0,3.7,6.1,4.4
Mongla,2013,6,36.0,26.7,244.0,86.0,2.4,5.4,4.4
Mongla,2013,7,34.2,26.7,401.0,87.0,2.9,5.8,4.7
Mongla,2013,8,34.7,26.4,287.0,88.0,2.4,5.9,3.9
